"","Country Code","Logistics performance index","Agriculture, forestry, and fishing, value added (% of GDP)","GDP per capita","Gender Parity Index (GPI)","School enrollment, primary (% net)","Low income and Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene","health expenditure","Prevalence of undernourishment (% of population)"
"1","AFG",1.835473,20.6343227166798,642.740392157453,0.691150009632111,NA,13.9,10.09395812,29.3
"2","AGO",2.133789,9.12253447070414,4629.97742651668,0.864740014076233,NA,48.8,2.9504308,24.8
"3","BDI",1.98495,30.6808301089821,339.499747552712,1.01013004779816,NA,65.4,4.88310844,NA
"4","BEN",2.391474,22.4927607161793,871.070086445493,0.930230021476746,NA,59.7,3.99181962,9.9
"5","BFA",2.668512,30.2716660727511,639.238282418123,0.974439978599548,69.389762878418,49.6,5.82531598,20.8
"6","BGD",2.48,14.7829964369364,1387.1704419819,NA,NA,11.9,2.46311455,15.8
"7","BOL",2.109668,10.239494241516,3373.30246099197,0.972150027751923,88.4827880859375,5.6,6.42235639,19.6
"8","BTN",1.955844,16.7129935420361,3144.32360562827,1.01191997528076,82.7784729003906,3.9,3.65892296,NA
"9","CAF",NA,31.1506966935004,422.671437167212,NA,NA,82.1,6.30899109,60.3
"10","CIV",2.463248,22.735623257338,1584.95316159134,0.880320012569427,77.7036590576172,47.2,5.26271074,21.1
"11","CMR",2.205693,14.772472349771,1474.4103079781,0.898779988288879,NA,45.2,4.69952298,6.5
"12","COD",2.009918,18.3703885045717,552.574400895553,0.992659986019135,NA,59.8,3.9869163,NA
"13","COG",2.59596,7.24349588505798,1957.02618860068,NA,NA,38.7,3.41535064,37.7
"14","COM",2.36412,30.0327834444746,1412.28560181329,NA,NA,50.7,7.68427435,NA
"15","CPV",NA,8.73739476188117,3381.12664922331,0.934509992599487,86.9075622558594,4.1,5.31378574,12.7
"16","DJI",2.297812,1.77688986354712,1986.08611114742,0.888149976730347,55.5927391052246,31.3,4.38930145,19.4
"17","EGY",3.07241,11.394083227628,3998.85660911344,NA,NA,2,4.62285691,4.6
"18","ERI",2.062937,NA,NA,0.860719978809357,42.4331512451172,45.6,2.96577289,NA
"19","ETH",2.117674,36.0569753905786,710.338177483271,0.908819973468781,85.4387130737305,43.7,3.97593223,22.8
"20","FSM",NA,26.0601174504576,3215.93890138819,1.00294995307922,84.0091705322266,3.6,12.20112314,NA
"21","GHA",2.484248,20.2471754785241,1962.22855654619,1.00117003917694,89.5388336181641,18.8,6.08769695,6.3
"22","GIN",2.011655,18.4782420543413,854.728904162617,NA,NA,44.6,5.82712195,18.5
"23","GMB",NA,23.5541033322672,742.645780967909,1.06774997711182,73.0555725097656,29.7,4.76148864,9.8
"24","GNB",1.907407,46.7881252736562,670.17612549156,NA,NA,35.3,6.51981283,26.1
"25","HND",2.03975,12.2159784468116,2540.22226527342,0.990490019321442,80.8588333129883,3.6,7.71396922,15.5
"26","HTI",1.471292,NA,906.364760455908,NA,NA,23.8,5.3723227,47.5
"27","IDN",2.645161,13.4926435578886,3701.88347509587,0.968529999256134,NA,7.1,3.0053613,7.3
"28","IND",3.337178,16.1745081066222,1784.00603454473,1.11917996406555,NA,18.6,3.59770551,15.3
"29","KEN",3.209709,30.1924094509524,1485.42594338833,0.998929977416992,NA,51.2,4.89013852,22.5
"30","KGZ",1.96,14.0607643300857,1245.64759456377,0.992780029773712,89.4549102783203,0.8,7.21937462,6.5
"31","KHM",2.362919,26.5803600137747,1292.11657774612,0.992850005626678,95.2889099121094,6.5,6.17148507,18.7
"32","KIR",NA,21.5765558116562,1713.97249953756,1.03233003616333,95.2004928588867,16.7,7.84410495,3.2
"33","LAO",1.761834,17.5881439571829,2371.89358202179,0.960569977760315,95.6065979003906,11.3,2.45366446,16.7
"34","LBR",2.012614,34.3706956248033,789.315397463905,0.904540002346039,37.6832695007324,41.5,10.18906067,38.4
"35","LSO",1.961644,4.97062989812616,1354.64205845631,0.967710018157959,79.5791320800781,44.4,8.34570567,12.9
"36","MAR",2.46142,12.628068222076,3194.7310946309,0.946919977664948,NA,1.9,5.41232575,3.9
"37","MDA",2.352941,11.5052679095319,2421.37069439841,0.989929974079132,86.8547821044922,0.1,10.17688536,NA
"38","MDG",2.118222,23.4861075834636,446.764790855352,0.999729990959167,NA,30.2,5.50418518,41.1
"39","MLI",2.299231,37.7232568576052,834.633885069962,0.897539973258972,55.5758094787598,70.7,4.11122936,5.9
"40","MMR",2.329592,26.7717786456294,1258.89201755946,NA,NA,12.6,5.19360297,10.8
"41","MNG",2.051282,13.3561451328882,4353.97685988393,0.981869995594025,96.8528366088867,1.3,3.8824954,18.5
"42","MOZ",2.238017,22.9439489373622,608.042326503886,0.916660010814667,89.5662994384766,27.6,5.18223307,30.4
"43","MRT",1.542857,24.5231814291077,1327.01390597672,1.05016005039215,NA,38.6,4.64444537,9.4
"44","MWI",NA,27.4812238583409,422.88559237882,1.02279996871948,NA,28.3,9.33346903,24.5
"45","NER",2.222419,36.3323358834131,400.948204523274,0.852989971637726,61.8176383972168,70.8,7.09101535,12.3
"46","NGA",2.398846,20.6318934802764,3033.81147077944,NA,NA,68.6,3.57255253,9
"47","NIC",2.49933,16.1099292213419,2277.61268384716,NA,NA,2.2,7.91558655,16.4
"48","NPL",2.266667,29.3829458795774,880.614322881534,1.08185994625092,96.5344619750977,19.8,6.21927182,9.5
"49","PAK",2.697275,23.817063587239,1507.40859038981,0.854499995708466,73.6060562133789,19.6,2.68711914,20.9
"50","PHL",2.550097,10.2601851963279,3185.7244335792,0.971170008182526,95.7163162231445,4.2,4.32136857,13.9
"51","PNG",2.322611,17.4562264088196,2977.02967892596,NA,NA,16.3,2.50788426,NA
"52","PRK",NA,NA,NA,1.00220000743866,NA,1.4,NA,42.8
"53","PSE",NA,3.55164523001657,3297.61305168861,0.999920010566711,90.2396392822266,NA,NA,NA
"54","RWA",2.621956,28.0075429548457,808.979730433786,1.01140999794006,NA,19.3,6.51938268,34
"55","SDN",2.201694,31.4185582789066,2763.05073184749,0.916649997234344,57.3238296508789,17.3,6.80492247,25.1
"56","SEN",2.233494,14.2824516828913,1354.18249600902,1.12023997306824,72.6199798583984,23.9,5.58568729,11.7
"57","SLB",2.20718,NA,2127.18658390776,0.989319980144501,70.5851821899414,6.2,5.24872732,12.7
"58","SLE",2.069467,58.6518937048545,653.587169669832,1.009889960289,92.3749237060547,81.3,20.4146101,25.7
"59","SLV",2.249288,5.52972407484521,4117.30882886863,0.95863002538681,86.1727294921875,2,6.86405934,11
"60","SOM",1.571429,NA,537.065512956234,NA,NA,86.6,NA,NA
"61","SSD",NA,12.1118946188341,1283.11216562087,0.7082399725914,32.1198081970215,63.3,NA,NA
"62","STP",2.117817,12.2286339446274,1773.17935861917,0.956239998340607,90.6035614013672,11.4,5.349902,9.8
"63","SWZ",NA,9.5909036893687,4046.00953708694,0.912840008735657,76.1555023193359,27.9,7.772143,21
"64","SYR",1.237654,NA,NA,NA,NA,3.7,NA,NA
"65","TCD",2.074374,50.3955822999691,861.897248349727,0.775699973106384,80.1175765991211,101,4.54621344,38.4
"66","TGO",2.236628,39.772544489248,634.089707861799,0.947309970855713,94.5440979003906,41.6,6.24938169,16.2
"67","TJK",2.133333,21.9328343872073,1032.32873024861,0.986240029335022,94.3511123657227,2.7,6.85367879,NA
"68","TLS",NA,8.80871589321727,2872.39319799377,0.985000014305115,83.7419815063477,9.9,3.49424362,27.1
"69","TUN",2.444444,10.2876618467064,4288.68270708211,0.971660017967224,NA,1,7.00675038,4.7
"70","TZA",2.811586,26.745885729563,1053.25938498656,1.03067004680634,NA,38.4,3.78969995,32.1
"71","UGA",2.739724,23.9815827987955,787.801153987957,1.01924002170563,NA,31.6,6.33395034,38.6
"72","UKR",2.494807,12.0593761063371,2360.73629545682,NA,NA,0.3,6.9562258,2.9
"73","UZB",2.44683,30.7733232009869,2905.58348276333,0.984860002994537,94.4095306396484,0.4,6.0955821,7.3
"74","VNM",2.695191,16.9922120022076,2316.77942677643,0.992079973220825,NA,1.6,5.65262114,11.1
"75","VUT",NA,26.6049114081442,3024.03992928434,0.983579993247986,85.8159866333008,10.4,4.15322859,6.9
"76","YEM",NA,7.07414416954883,1787.49368014033,NA,NA,10.2,5.60372913,32.6
"77","ZMB",2.262771,4.9808295402307,1480.21591226323,1.00315999984741,NA,34.9,4.43510226,44.4
"78","ZWE",2.213516,8.28424690276128,1605.63451331998,NA,NA,24.6,9.25619679,48.2
